5.4,4.1,6,0.7,Iris-setosa
3.1,2,1.7,0.2,Iris-setosa
4.8,3.4,3.2,0.2,Iris-setosa
5,6.2,1.6,1.5,Iris-setosa
5.1,3.8,1.9,0.4,Iris-setosa
4.8,3,1.4,0.3,Iris-setosa
5.1,3.8,3.9,0.2,Iris-setosa
4.6,3.2,1.4,3.2,Iris-setosa
5.3,2.1,1.5,0.2,Iris-setosa
5,3.3,1.4,0.2,Iris-setosa
6.2,2.2,4.5,1.5,Iris-versicolor
5.6,4.2,3.9,1.1,Iris-versicolor
5.9,3.2,2,0.1,Iris-versicolor
6,2.9,4.5,1.5,Iris-versicolor
5.7,2.6,3.5,1,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
2.3,2.4,3.7,1,Iris-versicolor
5.8,1,3.9,1.2,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor
6.3,3.3,6,2.5,Iris-virginica
6.1,2,7,1.4,Iris-virginica
7.7,3,6.1,2.3,Iris-virginica
6.9,4,5.1,5,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.8,1,5.9,2.3,Iris-virginica
6.7,3.3,5.7,2.5,Iris-virginica
6.7,3,3,7,Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica
5.9,3,5.1,1.8,Iris-virginica
